Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.0		TRUE	FALSE	Catalog				
Version	name	1.4		FALSE	FALSE			[1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,2.0]		
Extension	dictionary	1.0		FALSE	FALSE					[Extensions]
Pages	dictionary	1.0		TRUE	TRUE					[PageTreeNodeRoot]
PageLabels	number tree	1.3		FALSE	FALSE					[PageLabel]
Names	dictionary	1.2		FALSE	FALSE					[Name]
Dests	dictionary	1.1		FALSE	TRUE					[DestsMap]
ViewerPreferences	dictionary	1.2		FALSE	FALSE					[ViewerPreferences]
PageLayout	name	1.0		FALSE	FALSE		SinglePage	[SinglePage,OneColumn,TwoColumnLeft,TwoColumnRight,TwoPageLeft,TwoPageRight]		
PageMode	name	1.0		FALSE	FALSE		UseNone	[UseNone,UseOutlines,UseThumbs,FullScreen,UseOC,UseAttachements]		
Outlines	dictionary	1.0		FALSE	TRUE					[Outline]
Threads	array	1.1		FALSE	TRUE					[ArrayOfThreads]
OpenAction	array;dictionary	1.1		FALSE	FALSE					[DestXYZ,Dest0,Dest1,Dest4];[ActionGoTo,ActionGoToR,ActionGoToE,ActionGoToDp,ActionLaunch,ActionThread,ActionURI,ActionSound,ActionMovie,ActionHide,ActionNamed,ActionSubmitForm,ActionResetForm,ActionImportData,ActionSetOCGState,ActionRendition,ActionTransition,ActionGoTo3DView,ActionECMAScript,ActionRichMediaExecute]
AA	dictionary	1.4		FALSE	FALSE					[AddActionCatalog]
URI	dictionary	1.1		FALSE	FALSE					[ActionURI]
AcroForm	dictionary	1.2		FALSE	FALSE					[InteractiveForm]
Metadata	stream	1.4		FALSE	TRUE					[Metadata]
StructTreeRoot	dictionary	1.3		FALSE	FALSE					[StructTreeRoot]
MarkInfo	dictionary	1.4		FALSE	FALSE					[MarkInfo]
Lang	string-text	1.4		FALSE	FALSE					
SpiderInfo	dictionary	1.3		FALSE	FALSE					[WebCaptureInfo]
OutputIntents	array	1.4		FALSE	FALSE					[ArrayOfOutputIntents]
PieceInfo	dictionary	1.4		FALSE	FALSE					[PagePiece]
OCProperties	dictionary	1.5		FALSE	FALSE					[OptContentProperties]
Perms	dictionary	1.5		FALSE	FALSE					[Permissions]
Legal	dictionary	1.5		FALSE	FALSE					[LegalAttestation]
Requirements	array	1.7		FALSE	FALSE					[ArrayOfRequirements]
Collection	dictionary	1.7		FALSE	FALSE					[Collection]
NeedsRendering	boolean	1.0		FALSE	FALSE		FALSE			
DSS	dictionary	2.0		FALSE	FALSE					[DSS]
AF	array	2.0		FALSE	FALSE					[ArrayOfFileSpecifications]
DPartRoot	dictionary	2.0		FALSE	FALSE					[DPartRoot]
